ID,set1,set2,set3,set4,set5,set6,set7,set8,set9,set10,set11,set12,set13,set14,set15
289,4,5,0,4,0,5,2,0,0,4,4,1,0,0,1
290,5,1,0,7,2,3,0,0,2,5,6,0,1,0,5
291,5,5,0,4,4,7,0,0,5,5,4,0,0,1,5
292,5,5,5,6,4,7,4,1,0,5,4,0,3,2,5
293,4,3,6,6,4,7,0,0,4,1,6,0,0,4,3
294,4,4,0,6,1,7,0,1,0,4,7,0,2,0,1
295,0,5,4,6,4,2,0,0,1,0,4,1,2,1,7
296,2,6,0,4,4,5,0,4,0,5,5,0,0,0,5
297,4,7,0,2,5,1,0,0,0,0,2,2,0,0,4
298,0,1,3,6,4,7,0,0,0,4,6,1,0,0,5
299,4,6,0,7,5,6,0,0,1,4,5,0,4,0,5
300,6,5,0,4,0,6,0,0,0,4,1,0,0,0,4
301,4,5,2,4,4,3,2,0,0,5,4,6,0,0,1
302,4,5,0,4,2,3,6,0,1,4,0,0,0,2,5
303,4,5,0,2,4,7,0,1,0,4,0,1,0,0,5
304,4,5,2,7,4,1,0,2,0,4,4,0,0,2,5
305,4,5,0,7,7,7,4,0,0,5,5,0,6,0,5
306,4,5,0,4,4,7,1,4,2,6,4,0,2,1,5
307,5,5,2,4,0,6,2,0,0,6,4,0,1,2,5
308,4,6,0,6,6,7,4,1,0,6,4,0,2,0,7
309,4,5,0,6,6,7,4,4,0,6,4,0,0,0,5
310,6,5,1,6,3,7,0,0,0,4,4,5,3,0,5
311,0,5,0,6,4,7,0,4,0,6,4,0,0,2,5
312,4,1,4,4,4,3,0,0,0,0,4,1,2,6,4
313,4,5,2,6,4,7,2,6,0,7,4,0,1,1,5
314,4,4,0,6,4,3,0,0,0,4,6,0,0,0,5
315,4,5,0,6,4,7,4,0,4,4,6,0,0,0,4
316,0,7,2,2,4,4,0,0,0,4,4,0,0,1,5
317,0,5,0,6,5,7,1,0,0,4,4,0,0,0,4
318,1,5,0,6,4,7,0,4,4,4,4,0,4,0,5
319,4,5,1,6,4,7,0,0,0,4,4,0,2,0,7
320,2,5,0,6,4,7,0,0,0,4,5,5,2,1,1
321,6,5,0,2,4,7,2,0,0,4,4,1,1,0,7
322,4,5,0,4,4,3,0,0,0,5,4,0,0,0,5
323,0,7,0,6,5,7,0,0,0,4,1,0,0,0,5
324,4,0,0,4,0,5,0,0,0,5,4,0,0,0,1
325,4,0,0,4,4,7,0,0,0,5,4,0,0,1,5
326,4,4,0,6,4,6,0,0,4,4,5,2,0,0,1
327,4,5,2,2,0,7,0,0,0,4,4,1,0,1,5
328,0,5,0,6,6,7,0,0,2,4,4,2,4,0,5
329,0,5,3,6,4,7,0,0,4,4,4,0,4,0,1
330,4,5,0,4,5,3,0,0,0,0,5,0,1,0,5
331,1,7,0,6,4,4,1,2,0,0,4,3,1,4,1
332,4,5,0,2,6,7,5,2,0,0,0,0,0,0,3
333,0,1,0,7,4,7,0,1,2,6,1,0,0,0,5
334,4,5,1,6,5,7,0,0,2,4,4,0,0,0,5
335,4,1,4,4,5,7,0,4,4,4,0,1,0,3,5
336,4,4,4,6,4,5,0,0,5,4,0,2,0,0,1
337,4,7,0,6,0,7,1,0,0,4,7,1,0,0,5
